                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0845,                 2.7044,                 2.0909,                0.35249,                 0.2381,                0.23905,                0.11477,                 1.9888,                 7.3418,                 1.9536,                 0.0002,                 0.0002,                 0.0002
                      1,                 1.6904,                 2.2393,                 1.8717,                0.24798,                 0.2381,                 0.2213,                0.14401,                  1.497,                  4.455,                  1.582,             0.00041653,             0.00041653,             0.00041653
                      2,                  1.478,                 1.9159,                  1.577,                0.39107,                0.28571,                0.26187,                0.17949,                 1.5807,                 2.9223,                 1.7062,             0.00062944,             0.00062944,             0.00062944
                      3,                 1.3485,                 1.7252,                 1.4944,                0.56964,                0.33333,                0.32205,                0.19348,                 1.5557,                 2.5741,                 1.7659,             0.00083871,             0.00083871,             0.00083871
                      4,                 1.3458,                 1.6895,                 1.5295,                 0.7124,                0.33333,                0.41748,                0.26931,                 1.4674,                 2.3483,                 1.6736,              0.0010444,              0.0010444,              0.0010444
                      5,                 1.4298,                 1.5548,                  1.544,                0.95291,                0.33333,                0.45984,                0.29954,                 1.5147,                 2.3981,                 1.6313,              0.0012464,              0.0012464,              0.0012464
                      6,                 1.3279,                 1.5374,                 1.4081,                0.47343,                0.52381,                0.48423,                  0.333,                  1.332,                 2.6737,                  1.436,              0.0014448,              0.0014448,              0.0014448
                      7,                 1.3221,                 1.4314,                 1.4264,                0.60693,                0.66667,                0.63283,                0.45082,                 1.1267,                 2.2275,                 1.2297,              0.0016395,              0.0016395,              0.0016395
                      8,                 1.2614,                 1.4468,                 1.4013,                0.60693,                0.66667,                0.63283,                0.45082,                 1.1267,                 2.2275,                 1.2297,              0.0018306,              0.0018306,              0.0018306
                      9,                 1.3681,                  1.659,                 1.5044,                      1,                0.51589,                0.64237,                0.48541,                 1.0363,                 1.6871,                 1.1327,              0.0018515,              0.0018515,              0.0018515
                     10,                 1.2634,                 1.4861,                 1.4123,                0.84022,                0.52381,                0.60319,                0.46066,                0.97711,                 1.5366,                  1.114,              0.0018515,              0.0018515,              0.0018515
                     11,                 1.2047,                 1.5325,                 1.3995,                0.84022,                0.52381,                0.60319,                0.46066,                0.97711,                 1.5366,                  1.114,               0.001835,               0.001835,               0.001835
                     12,                   1.19,                 1.4094,                 1.3542,                0.81633,                0.47619,                0.57131,                 0.3891,                 1.2935,                 1.7518,                 1.3097,              0.0018185,              0.0018185,              0.0018185
                     13,                 1.1786,                 1.3208,                 1.3321,                0.70763,                0.61905,                0.62829,                 0.3864,                 1.6565,                 1.7679,                 1.5548,               0.001802,               0.001802,               0.001802
                     14,                 1.1533,                 1.2025,                  1.314,                0.70763,                0.61905,                0.62829,                 0.3864,                 1.6565,                 1.7679,                 1.5548,              0.0017855,              0.0017855,              0.0017855
                     15,                 1.1674,                 1.3321,                 1.3119,                0.63327,                0.49405,                0.56733,                0.34371,                 1.5588,                  1.806,                 1.4446,               0.001769,               0.001769,               0.001769
                     16,                  1.259,                 1.5066,                 1.4014,                 0.7272,                0.57143,                0.56654,                0.38013,                   1.47,                 2.1747,                 1.4875,              0.0017525,              0.0017525,              0.0017525
                     17,                 1.1991,                 1.2922,                 1.3477,                0.65019,                0.47619,                0.52592,                0.32756,                 1.5156,                 2.1852,                 1.5495,               0.001736,               0.001736,               0.001736
                     18,                 1.3526,                 1.4954,                 1.4996,                0.65019,                0.47619,                0.52592,                0.32756,                 1.5156,                 2.1852,                 1.5495,              0.0017195,              0.0017195,              0.0017195
                     19,                 1.1179,                 1.2639,                 1.2981,                0.97359,                0.47619,                0.56732,                0.38093,                 1.3688,                 1.8302,                 1.4253,               0.001703,               0.001703,               0.001703
                     20,                 1.1077,                 1.2604,                 1.2663,                0.73537,                0.47619,                0.54357,                0.37339,                 1.2292,                 1.4794,                 1.2935,              0.0016865,              0.0016865,              0.0016865
                     21,                 1.0632,                 1.1351,                 1.2488,                0.73537,                0.47619,                0.54357,                0.37339,                 1.2292,                 1.4794,                 1.2935,                0.00167,                0.00167,                0.00167
                     22,                 1.0968,                 1.1128,                 1.2751,                0.70078,                0.47619,                0.56041,                0.39058,                  1.114,                 1.4212,                 1.3012,              0.0016535,              0.0016535,              0.0016535
                     23,                 1.1185,                 1.1204,                 1.2703,                0.98654,                0.52381,                0.68918,                0.44432,                 1.0525,                 1.2383,                 1.1877,               0.001637,               0.001637,               0.001637
                     24,                 1.0183,                 1.2259,                 1.2442,                0.98654,                0.52381,                0.68918,                0.44432,                 1.0525,                 1.2383,                 1.1877,              0.0016205,              0.0016205,              0.0016205
                     25,                 1.0533,                 1.1252,                 1.2549,                0.98787,                0.52381,                0.69554,                  0.471,                 1.1039,                 1.1804,                  1.181,               0.001604,               0.001604,               0.001604
                     26,                  1.051,                 1.0944,                 1.2685,                      1,                0.46742,                   0.64,                0.44536,                 1.1916,                  1.192,                 1.2211,              0.0015875,              0.0015875,              0.0015875
                     27,                 1.1199,                 1.1667,                 1.3404,                      1,                0.46742,                   0.64,                0.44536,                 1.1916,                  1.192,                 1.2211,               0.001571,               0.001571,               0.001571
                     28,                 1.0277,                 1.2774,                 1.2688,                0.73031,                0.66667,                0.68516,                0.43795,                 1.2015,                 1.3246,                 1.2144,              0.0015545,              0.0015545,              0.0015545
                     29,                  1.093,                 1.1435,                 1.3159,                0.64547,                 0.7619,                0.73191,                 0.4485,                  1.196,                 1.4498,                 1.2412,               0.001538,               0.001538,               0.001538
                     30,                 1.0257,                 1.1045,                 1.2221,                0.64547,                 0.7619,                0.73191,                 0.4485,                  1.196,                 1.4498,                 1.2412,              0.0015215,              0.0015215,              0.0015215
                     31,                 1.1519,                 1.2568,                 1.3269,                0.89688,                0.47619,                0.65498,                0.43629,                 1.2352,                 1.6794,                 1.2502,               0.001505,               0.001505,               0.001505
                     32,                 1.1617,                 1.2707,                 1.3039,                0.83051,                0.57143,                0.67605,                0.42503,                  1.272,                 1.6083,                  1.299,              0.0014885,              0.0014885,              0.0014885
